query,misspelled_query
آدرس فرمانداری قزوین,آدرس فرمانداری ۴زوین
داروخانه هلال احمر تنکابن,داروخانه هلال ایمر تنکابن
مدرسه شهید بهشتی 2 اهواز,مدرسه شهید بهشتیو 2 اهواژ
خیابان ولیعصر اصفهان,یابان ولیعصر اصفهان
شماره تلفن بهزیستی ملکوتی خواه اصفهان,شماره تلفن بهزیستب ملکوتی  خواه اصفهعن
بیلیارد امرالد استار,بیلیاردامرالآ استا ر
پارک عسل خوانسار,پاره عسل ختانسار
بیمه آتیه سازان مشهد استقلال,بیمهآتله سازان مشهد استقلال
کنیسه کتر داوود,کنیسه اتر داوود
مجتمع نسیم زاهدان,م-تمع نعیم ز اهدان
فروشگاه رفاه گناوه,غروشگاه رلاه گناوه
تاج محل الوند, تاج محل الوند
پیتزا خورشید فاز دو اندیشه,پیتزا خورشید فاز دت انیشه
ساندویچ هروی ضابطی,ساندویچ هرنی ضابطی
رستوران بحرینی قزوین,ستوران بحرین ی قزوین
نقشه روستای همه سین,نقاشه روستای زمه سین
تجهیزات پزشکی پردیسان قم,تجهیزات پزشکا پردیسان قم
فست فود ماجرا بابل,فست فود ماجرا باب ل
پوشاک فرد مشهد,پوشاکفرد مشهد
شهر صندل شیراز,شهرصن دل شیرای
کلینیک نشاط فردیس,کلینیک نقاط فردیس
اداره برق سیاهکل,ا داره برقسیاهکل
پادگان شهید حسن زاده کاشان,پادگان شهود حسن زاده کاشان
دباغ خانه همدان,صباغ مانه همدان
آدرس مسجد معتضدی کرمانشاه,آدرس مسجد معتضآی کرمانشاه
باغ تالار بیست گرمدره,باغ تالاذر بیست گرمدره
تاکسی بین شهری کرج,تاکسی بینک شهری کرج
حوزه علمیه هشتگرد,دوزه علمه هشتگرد
کانون بازنشستگان فرهنگیان شیراز,کانوم بازشستگان فرهنگیان شیراز
بانک انصار هشتگرد,بانک انصاری هشتگرد
کافه گلاریس پاسداران,کافه گلاریس پاسدران
فروشگاه کارن اصفهان,فروشگاهی قارن اصفهان
دبیرستان آیت الله سعیدی,دیرستان آیت بلله سعیدی
هتل مهدی قم,هتلمهدی قم
تالار مروارید شاهرود,تالاری مروراید شاهرود
معاینه فنی فتوحی شیراز,معاینه فنگ فتوحی شیرز
رستوران باجناق خوب,رستوران ژباجناق خوب
میدان الغدیر کرج,میدان القدیرکرج
داروخانه دکتر نجفی کرج,داروخانه دکبر نجفیه کرو
خیابان طریقت ارومیه,حیابان طرسقت ارومیه
آموزشگاه زبان كيش (دخترانه),اموزشگاه زلان كيش (دخترانه)
اداره برق شاهین دژ,اداره برق شاهین د ژ
برج بهارستان مشهد,برج نهارستان مشهد
شرکت نفت زاهدان خیابان مالک اشتر,شرکت وفت زاهدان خیابان مالگک ابتر
هنرستان گل افشان کرج,وهنرستان گل اوشان کرج
داروخانه دکتر مبارکی,داروخ انه دکت ر مبارکی
بلوار نواب یزد,بلوار نوابیزد
برج نرگس مشهد,برحج نبرگس ماهد
فروشگاه شهروند سهروردی,فرنشگاه شهروخد سهروردی
استخر جام جم اردبیل,اسهخر جام جم اردبیل
دکتر ریحانه رضایی مجد,دکتر ریحانه رضایی مجا
کباب ترکی شمس بندرعباس,کباب ترکی شکس بندذعباس
شهرک میرداماد یزد,سهرک میرداماد یزد
دکتر محسن حقیقی زاده دزفول,دکتر محسن حقیقی زاده درفول
هنرستان شهدای جنوب یزد,هنرستان شهدای جنوبیزد
لوازم خانگی پیرانی,لوازم خانگثپیرانی
آب بندان سرخرود,آق بندان سرخرود
استخر آفتاب گرگان, استخر آشتاب گذگان
شیرینی کاملیا خواجه عبدالله,شیرینیکاملیا خواجه عبدالله
مرکز مطالعات و توسعه آموزش پزشکی تبریز,ملکز مطالعات چو توسعه آمویش پزشکی تبریز
فروشگاه ارزانی مظاهری اصفهان عکسها,فروشگاه ترزانی مظاهری اصفهان عکسها
کوچکه رش سنندج,گوچکه رشسنندج
نمازخانه راه آهن تهران,نمازخانه راه آهو چهران
دکتر رسولی دندانپزشک قزوین,دکتری رسولی دندانپزشک قزوین
رستوران ذبیحی بازار,ستوران ذبیحی بالار
رستوران صدف نیشابور,رستوران‌صدف‌نیشابور
شماره تلفن پلیس راه داران اصفهان,شماره‌تلفن‌پلبسراه‌داران‌تصفهان
صادق بار مشهد,صادق‌ب ار‌مشهد
مصلی مهرشهر کرج,م۲لی مهرشهر کذج
شرق کالا بیرجند,درق کالا بیرجند
بلوار دانشگاه یزد,بلوار دانشگاه زید
رستوران ابوذر کرمان,رستوران ابوذر گرمان
سرای محله فردوس,سرابی محله فردوس
شماره تلفن پلیس راه ایلام کرمانشاه,شماره تلفن پلیر راه ایلامکرمانشاه
سوپر مارکت ترنج,پوپر ماکت ترن
رستوران کیا شهرک صنعتی شیراز,رستوران کبا شهرک صنعتبی شیراژ
فست فود ملایر خیابان قائم مقامی,فست فود ملایرخیتبان قائم مقاحی
لباس مجلسی زرگری شیراز,لباس مجلسی زرگری شثراز
لاستیک فروشی المپیک,لاستبک فروشی ابمپیک
انبار جنت شورآباد,انبار سنت ش ورآباد
کشتارگاه کوهان مشهد,کشتاذگاه کوهآن مشهد
پارچه فروشی سبزه میدان اصفهان,پارچهفروشی سبزی میدان اصفهانک
مدرسه امیدوار کرج,مهرسه امیدوار کرکج
باشگاه ستارگان شهرک گلستان شیراز,باشگاه ستارگان ظشهرک گلستان شیراز
کویر حسین آباد میش مست,گویر حسین آباد میش مفت
فنی حرفه ای پیکان شهر,فنز حرفه ای پ یکان شهب
خیابان امام خمینی لاهیجان,بیابان اما م خمینی لاهیجان
لوازم قنادی نارنجی یزد,لوازم قنادینارن-ی یزد
داروخانه دکتر امیرحسین شریفی,داروخونه دکتر امرحسین طریفی
فروشگاه روبان مگامال,فروشگاه روران مگامال
هایپر مارکت های لاکچری تهران,هایپر ماکت های لاکچری تهران
کلینیک دندانپزشکی نشاط کرمانشاه,حلینیک‌د ندانپزشکی‌نشا‌کرمانشاه
پیتزا هیزمی مشهد,پاتزا هیزمی مشهد
میدان یحیوی اردبیل,میدان یحیوی اردبیف
آزمایشگاه امداد مبارکه,آزمایشگاه بامداد مبارکه
مسجد احباب الحسین,مسجید احباب الحسنی
دفتر خدمات قضایی کمپلو اهواز,دفتر خدمات قضاییه کمپلو اهواز
سوپر طهران اراک,سوپر طهران ارکاک
آرایشگاه سلین پردیس,آرازشگاه سمین فردیس
آژانس پیروزی دهم فروردین,آژ انس پیروزی دهم فروردین
دفتر فنی معراج یزد,دفتر فنی معرآج یزد
مجتمع تجاری پیامبر,مجتمع تجآری پیامبر
رستوران عسگرزاده آستارا,رستچران عسگرزاده آستارا
میدان بابک تبریز,میدان بدابک تبریز
مجتمع تفریحی لادیز زاهدان,ومجتمع تفریحی لادیز زاهدان
درمانگاه مجیدیه جنوبی, درمانگاه مجیذیه جنوبی
خوابگاه دیباج همدان,خوابگاه دیبا-مدان
شماره تلفن استخر 17 شهریور اردبیل,ش ماره تلفن ا ستخر 17 دشهریور اردبیل
جزیره بازی شیراز,جزیره بازی ضیراز
پیتزا یک سپاهان شهر,پیتزا یک سپاهاخ شعر
رستوران ته دیگ طلایی کهریزک,رستوران ته دبگ طلایی کاریزک
آموزشگاه موسیقی بابلسر,آموزشگاهموسیقی بابلسر
هتل معین شیرود,هت ل معین شثرود
لبنیات دهکده عظیمیه کرج,لبنیات دهکده عظیمی کرج
آدرس بهزیستی کرمانشاه, آدرس بهزیستی کرمانشاه
خیابان گلستان انزلی,خیابان گلسهتان نازلی
مانتو سالومه گنبد کاووس,ما نتو سالومه گنقد کاوچس
بادکنک آرایی در کرج,بادکنک آرائی در کرج
کتابخانه عمومی سلماس,ک تابخانه عمومی سلماس
سالن ورزشی عرفانی مشهد,سالون ورزشیعرفانی معهد
فروشگاه جانبو قائمشهر,فروشکاه جانلو قائمشهر
بلوار میثم شیراز,بژوار میثم شیراز
کلینیک امام خمینی گناوه,کیلنیک اماچ امینی پناوه
بیمارستان فلسفی گرگان,بیمارستان فلسفه گرگین
میدان حافظیه کرمانشاه,میدانحافظثه کرمانشاه
کافه بازی بابل,کاقفه بازیک بابلی
خوابگاه وحدت زاهدان,خوارگاه وحدتزاهدان
لوازم یدکی کیانپور کرج,لوازم‌یدی‌کیانور‌ کرج
کباب شهر قائمشهر,کبآاب شهر قائمشهر
کتاب فروشی سناباد مشهد,کتاب فروشزی سناباد تشهد
رستوران ملل رامسر,رستوران مپل رامسر
